time,ACC_x,ACC_y,ACC_z,GYRO_x,GYRO_y,GYRO_z,MAG_x,MAG_y,MAG_z,D1,D2,BTN1,BTN2
1776672057.9869137,12,11,252,-777,34,-10,164,-128,-433,3,0,0,0
1776672058.1135814,12,11,253,-789,52,-13,164,-128,-433,3,0,0,0
1776672058.2398777,13,12,253,-795,27,3,163,-127,-433,3,0,0,0
1776672058.3667617,11,11,253,-781,22,-51,165,-128,-433,3,0,0,0
1776672058.4928272,13,10,253,-799,44,-9,164,-128,-433,3,0,0,0
1776672058.61944,13,12,253,-798,46,-1,162,-127,-432,3,0,0,0
1776672058.7459612,12,10,253,-800,51,-13,164,-127,-433,3,0,0,0
1776672058.8720663,12,11,254,-800,42,-3,164,-128,-433,3,0,0,0
1776672058.9999945,13,11,254,-813,58,-19,163,-128,-433,3,0,0,0
1776672059.1251724,13,11,253,-777,28,-12,164,-127,-433,3,0,0,0
1776672059.2535238,12,11,253,-691,72,-14,163,-128,-434,3,0,0,0
1776672059.3789353,12,11,254,-760,24,-53,165,-127,-433,3,0,0,0
1776672059.5051334,14,12,253,-800,85,-10,164,-128,-432,3,0,0,0
1776672059.631939,11,12,252,-809,31,-17,163,-128,-433,3,0,0,0
1776672059.7587044,12,12,253,-827,34,-7,164,-128,-433,3,0,0,0
1776672059.8849356,12,11,255,-792,51,-14,163,-127,-433,3,0,0,0
1776672060.0115333,12,11,253,-804,44,8,164,-129,-433,3,0,0,0
1776672060.138962,13,10,255,-759,47,-23,163,-128,-432,3,0,0,0
1776672060.2645862,12,11,254,-787,64,-11,163,-128,-432,3,0,0,0
1776672060.3909483,12,11,254,-799,36,-28,165,-128,-433,3,0,0,0
1776672060.5177603,12,12,254,-789,56,-30,164,-127,-433,3,0,0,0
1776672060.644161,13,11,255,-754,-1,-37,163,-128,-433,3,0,0,0
1776672060.7714903,12,11,254,-788,43,-28,164,-128,-433,3,0,0,0
